"id_event","disease","serotype","latitude","longitude","locality","country","region","observation_date","report_date","species","diagnosis_source","humans_affected","humans_deaths","diagnosis_status"
240257,"African swine fever",,12.1762,15.0511,"1st district, Farcha,","Chad","Africa","2018-08-29T00:00:00Z","2018-09-14T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
240256,"African swine fever",,12.1762,14.931,"9th district, N''''Djamena","Chad","Africa","2018-08-25T00:00:00Z","2018-09-14T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
191677,"African swine fever",,12.7,15.6,"7th district of N'djamena","Chad","Africa","2014-09-03T00:00:00Z","2014-09-25T00:00:00Z","Domestic,swine,","OIE",,,"Confirmed"
210792,"African swine fever",,13.286,-4.594,"Sanekuy","Mali","Africa","2016-01-01T00:00:00Z","2016-02-23T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
181694,"African swine fever",,9.350512,2.601006,"Parakou","Benin","Africa","2013-11-03T00:00:00Z","2013-11-06T00:00:00Z","Domestic,swine,","OIE",,,"Confirmed"
314414,"African swine fever",,43.115,92.669,"Nanquan Village,Sandaoling Township,Yizhou District","China","Asia","2022-02-21T00:00:00Z","2022-02-28T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
308992,"African swine fever",,40.03,119.81,"Qinhuangdao","China","Asia","2021-12-12T00:00:00Z","2021-12-16T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
307778,"African swine fever",,29.309,113.586,"G56 Highway checkpoint for Animal health supervision,Zhanqiao Township","China","Asia","2021-11-27T00:00:00Z","2021-12-01T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
306391,"African swine fever",,18.774,110.34,"Taiyang village","China","Asia","2021-10-23T00:00:00Z","2021-11-09T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
302845,"African swine fever",,29.639,111.812,"G55 Highway checkpoint for Animal health supervision,Renhepu Township","China","Asia","2021-09-04T00:00:00Z","2021-09-08T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
298808,"African swine fever",,30.401166,106.842965,"G42 Highway checkpoint for Animal health supervision,Tianchi Township","China","Asia","2021-07-15T00:00:00Z","2021-07-21T00:00:00Z","Domestic,Swine,","OIE",,,"Confirmed"
295121,"African swine fever",,24.480324728832,118.2954108926,"Wu Sha Jiao shore, Kinmen County, Taiwan Province  ","China","Asia","2021-05-01T00:00:00Z","2021-05-03T00:00:00Z","Domestic,Swine,","National authorities",,,"Confirmed"
294257,"African swine fever",,41.68885,110.412404,"Darhan Muminggan United Banner","China","Asia","2021-04-25T00:00:00Z","2021-04-28T00:00:00Z","Domestic,Swine,","National authorities",,,"Confirmed"
292467,"African swine fever",,43.98,81.27,"Xinjiang Production Construction Bingtuan","China","Asia","2021-04-04T00:00:00Z","2021-04-04T00:00:00Z","Domestic,Swine,","National authorities",,,"Confirmed"
291590,"African swine fever",,28.43,113.14,"Changsha County","China","Asia","2021-03-25T00:00:00Z","2021-03-26T00:00:00Z","Domestic,Swine,","National authorities",,,"Confirmed"
291348,"African swine fever",,43.975605,81.367005,"Dadamutu","China","Asia","2021-03-22T00:00:00Z","2021-03-22T00:00:00Z","Domestic,Swine,","National authorities",,,"Confirmed"
